# P	count	tag	form
1.00	1	VERB	замечала
1.00	1	VERB	подсовывал
1.00	1	DET	какую-нибудь
1.00	1	NOUN	дрянь
1.00	1	ADJ	дешевой
1.00	1	NOUN	распродажи
1.00	2	ADV	спокойно
1.00	1	NOUN	достоинством
1.00	2	VERB	спросил
1.00	1	VERB	Может
1.00	1	VERB	видела
1.00	1	VERB	торчу
1.00	1	NOUN	прилавков
1.00	1	NOUN	остатками
1.00	1	NOUN	глазею
1.00	1	NOUN	витрины
1.00	1	ADJ	«любой
1.00	1	NUM	десять
1.00	1	NOUN	центов»
1.00	1	PROPN	Допусти
1.00	3	VERB	стоит
1.00	1	NUM	двести
1.00	2	NUM	пятьдесят
1.00	3	NOUN	муфта
1.00	1	NUM	сто
1.00	1	NUM	семьдесят
1.00	1	ADV	Тогда
1.00	1	VERB	иметь
1.00	1	DET	некоторое
1.00	1	NOUN	представление
1.00	1	NOUN	стоимости
0.75	3	ADJ	русских
0.25	1	NOUN	русских
1.00	6	NOUN	соболей
1.00	1	ADJ	Хорошие
1.00	1	NOUN	вещи
1.00	1	DET	моя
1.00	1	NOUN	Черт
1.00	1	VERB	побери
1.00	6	DET	этот
1.00	5	NOUN	мех
1.00	1	NOUN	лицу
1.00	1	VERB	сияя
1.00	1	NOUN	восторга
1.00	1	VERB	прижала
1.00	1	NOUN	груди
1.00	1	NOUN	мало-помалу
1.00	1	VERB	сбежала
1.00	1	ADJ	пытливым
1.00	1	ADJ	грустным
1.00	1	NOUN	взором
1.00	1	VERB	посмотрела
1.00	1	PROPN	Малышу
1.00	3	ADV	уже
1.00	1	VERB	научился
1.00	1	VERB	понимать
1.00	1	ADJ	каждый
1.00	1	NOUN	взгляд
1.00	1	VERB	рассмеялся
1.00	1	VERB	порозовели
1.00	1	VERB	Выкинь
1.00	1	NOUN	головы
1.00	1	VERB	пробормотал
1.00	1	ADJ	грубоватой
1.00	1	NOUN	лаской
1.00	1	ADJ	прежним
1.00	1	VERB	покончено
1.00	4	VERB	купил
1.00	2	VERB	заплатил
1.00	1	NOUN	кармана
1.00	2	ADP	Из
1.00	1	NOUN	заработка
1.00	1	NUM	семидесяти
1.00	1	NUM	пяти
1.00	1	NOUN	месяц
1.00	2	PART	Ну
0.75	3	PART	да
0.25	1	CCONJ	да
1.00	1	VERB	откладывал
1.00	1	VERB	Откладывал
1.00	1	VERB	Постой
1.00	8	PUNCT	…
